Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[infect]	Factor Value[sampling time point]	Unit[time unit]	Factor Value[disease]	Factor Value[organism part]
Sample 11	ERS4146117	SAMEA6380030	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 11	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 11	sequencing assay	ERX3729443	dm10_chronic1_R1.fastq.gz	dm10_chronic1_R1.fastq.gz	ERR3728263	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728263/ERR3728263_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 11	ERS4146117	SAMEA6380030	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 11	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 11	sequencing assay	ERX3729443	dm10_chronic1_R2.fastq.gz	dm10_chronic1_R2.fastq.gz	ERR3728263	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728263/ERR3728263_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 12	ERS4146118	SAMEA6380031	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 12	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 12	sequencing assay	ERX3729444	dm10_chronic2_R1.fastq.gz	dm10_chronic2_R1.fastq.gz	ERR3728264	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728264/ERR3728264_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 12	ERS4146118	SAMEA6380031	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 12	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 12	sequencing assay	ERX3729444	dm10_chronic2_R2.fastq.gz	dm10_chronic2_R2.fastq.gz	ERR3728264	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728264/ERR3728264_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 13	ERS4146119	SAMEA6380032	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 13	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 13	sequencing assay	ERX3729445	dm10_chronic4_R1.fastq.gz	dm10_chronic4_R1.fastq.gz	ERR3728265	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728265/ERR3728265_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 13	ERS4146119	SAMEA6380032	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 13	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 13	sequencing assay	ERX3729445	dm10_chronic4_R2.fastq.gz	dm10_chronic4_R2.fastq.gz	ERR3728265	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728265/ERR3728265_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 14	ERS4146120	SAMEA6380033	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 14	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 14	sequencing assay	ERX3729446	dm10_chronic5_R1.fastq.gz	dm10_chronic5_R1.fastq.gz	ERR3728266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728266/ERR3728266_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 14	ERS4146120	SAMEA6380033	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 14	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 14	sequencing assay	ERX3729446	dm10_chronic5_R2.fastq.gz	dm10_chronic5_R2.fastq.gz	ERR3728266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728266/ERR3728266_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 1	ERS4146121	SAMEA6380034	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 1	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 1	sequencing assay	ERX3729447	dm10_naive1_R1.fastq.gz	dm10_naive1_R1.fastq.gz	ERR3728267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728267/ERR3728267_1.fastq.gz	none	0	day	normal	blood
Sample 1	ERS4146121	SAMEA6380034	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 1	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 1	sequencing assay	ERX3729447	dm10_naive1_R2.fastq.gz	dm10_naive1_R2.fastq.gz	ERR3728267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728267/ERR3728267_2.fastq.gz	none	0	day	normal	blood
Sample 2	ERS4146122	SAMEA6380035	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 2	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 2	sequencing assay	ERX3729448	dm10_naive2_R1.fastq.gz	dm10_naive2_R1.fastq.gz	ERR3728268	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728268/ERR3728268_1.fastq.gz	none	0	day	normal	blood
Sample 2	ERS4146122	SAMEA6380035	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 2	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 2	sequencing assay	ERX3729448	dm10_naive2_R2.fastq.gz	dm10_naive2_R2.fastq.gz	ERR3728268	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728268/ERR3728268_2.fastq.gz	none	0	day	normal	blood
Sample 3	ERS4146123	SAMEA6380036	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 3	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 3	sequencing assay	ERX3729449	dm10_naive3_R1.fastq.gz	dm10_naive3_R1.fastq.gz	ERR3728269	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728269/ERR3728269_1.fastq.gz	none	0	day	normal	blood
Sample 3	ERS4146123	SAMEA6380036	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 3	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 3	sequencing assay	ERX3729449	dm10_naive3_R2.fastq.gz	dm10_naive3_R2.fastq.gz	ERR3728269	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728269/ERR3728269_2.fastq.gz	none	0	day	normal	blood
Sample 4	ERS4146124	SAMEA6380037	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 4	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 4	sequencing assay	ERX3729450	dm10_naive4_R1.fastq.gz	dm10_naive4_R1.fastq.gz	ERR3728270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728270/ERR3728270_1.fastq.gz	none	0	day	normal	blood
Sample 4	ERS4146124	SAMEA6380037	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 4	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 4	sequencing assay	ERX3729450	dm10_naive4_R2.fastq.gz	dm10_naive4_R2.fastq.gz	ERR3728270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728270/ERR3728270_2.fastq.gz	none	0	day	normal	blood
Sample 5	ERS4146125	SAMEA6380038	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 5	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 5	sequencing assay	ERX3729451	dm10_naive5_R1.fastq.gz	dm10_naive5_R1.fastq.gz	ERR3728271	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728271/ERR3728271_1.fastq.gz	none	0	day	normal	blood
Sample 5	ERS4146125	SAMEA6380038	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 5	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 5	sequencing assay	ERX3729451	dm10_naive5_R2.fastq.gz	dm10_naive5_R2.fastq.gz	ERR3728271	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728271/ERR3728271_2.fastq.gz	none	0	day	normal	blood
Sample 20	ERS4146126	SAMEA6380039	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 20	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 20	sequencing assay	ERX3729452	dpi10_acute1_R1.fastq.gz	dpi10_acute1_R1.fastq.gz	ERR3728272	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728272/ERR3728272_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 20	ERS4146126	SAMEA6380039	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 20	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 20	sequencing assay	ERX3729452	dpi10_acute1_R2.fastq.gz	dpi10_acute1_R2.fastq.gz	ERR3728272	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728272/ERR3728272_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 21	ERS4146127	SAMEA6380040	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 21	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 21	sequencing assay	ERX3729453	dpi10_acute2_R1.fastq.gz	dpi10_acute2_R1.fastq.gz	ERR3728273	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728273/ERR3728273_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 21	ERS4146127	SAMEA6380040	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 21	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 21	sequencing assay	ERX3729453	dpi10_acute2_R2.fastq.gz	dpi10_acute2_R2.fastq.gz	ERR3728273	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728273/ERR3728273_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 22	ERS4146128	SAMEA6380041	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 22	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 22	sequencing assay	ERX3729454	dpi10_acute3_R1.fastq.gz	dpi10_acute3_R1.fastq.gz	ERR3728274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728274/ERR3728274_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
